seq,durasi_ms,panjang,valid,kanal_aktif,data
111,770.82,125,1,5,00001000000000001100000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000
112,770.84,125,1,7,00100010000000000000000000000000000000000000000000000011001000000000000100000001000000000000000000000000000000000000000000000
113,770.83,125,1,5,00000000000010000000000000000000000000000000000000000000010011001000000000000000000000000000000000000000000000000000000000000
114,770.83,125,1,5,00000000000000000010000000000000000000000000000000000110000000000001001000000000000000000000000000000000000000000000000000000
115,770.82,125,1,8,00000000100000000000000010100000000000000000000000000000110010000000001010000000000000000000000000000000000000000000000000000
116,770.84,125,1,15,00000000000000100000000000000000000000000000000000010101001100111011110110000000000000000000000000000000000000000000000000000
117,770.83,125,1,7,00000000000000000000000000010000000000000000000000001001100000000000110000000000010000000000000000000000000000000000000000000
118,770.83,125,1,5,00000000001000000000000000000000000000000000000000000000001001100000000000000000100000000000000000000000000000000000000000000
119,770.82,125,1,6,00001000000000001000000000000000000000000000000000000000000000001110100000000000000000000000000000000000000000000000000000000
120,770.84,125,1,6,00000010000000000000000000000000000000000000000000000010010000000000011100000000000000000000000000000000000000000000000000000
121,770.83,125,1,10,00000000000010000000000000000000000000000000000000011111000110011000000000000000000000000000000000000000000000000000000000000
122,770.83,125,1,6,00000000000000000010000000100000000000000000000000000100000000000001011000000000000000000000000000000000000000000000000000000
123,770.82,125,1,8,00000001100000000000000000010000000000000000000000000000100111000000000000000100000000000000000000000000000000000000000000000
124,770.84,125,1,5,00000000000001100000000000000000000000000000000000000000001000100100000000000000000000000000000000000000000000000000000000000
125,770.83,125,1,4,00010000000000000000000000000000000000000000000000000001000000000000100100000000000000000000000000000000000000000000000000000
126,770.83,125,1,5,00100000010000000000000000000000000000000000000000000000011001000000000000000000000000000000000000000000000000000000000000000
127,770.82,125,1,4,00000000000000011000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000
128,770.84,125,1,6,00000000000000000000000100100000000000000000000000000110010000000000001000000000000000000000000000000000000000000000000000000
129,770.83,125,1,15,00000000000100000000000000001000000000000000000000001111111111011000000000000001000000000000000000000000000000000000000000000
130,770.83,125,1,6,00000000000000000100000000000000000000000000000000000100000000000110010000000000100000000000000000000000000000000000000000000
131,770.82,125,1,4,00000001000000000000000000000000000000000000000000000001001100000000000000000000000000000000000000000000000000000000000000000
132,770.84,125,1,5,00000100000001000000000000000000000000000000000000000000000001100100000000000000000000000000000000000000000000000000000000000
133,770.83,125,1,5,00000000000000000000000000000000000000000000000000000110000000000001100100000000000000000000000000000000000000000000000000000
134,770.83,125,1,5,00000000010000000000000000100000000000000000000000000000010011000000000000000000000000000000000000000000000000000000000000000
135,770.82,125,1,4,00000000000000010000000000000000000000000000000000000000000000110001000000000000000000000000000000000000000000000000000000000
136,770.84,125,1,6,00000000000000000000000000100000000000000000000000000100100000000000011000000000100000000000000000000000000000000000000000000
137,770.83,125,1,6,01000000001100000000000000000000000000000000000000000000000100110000000000000000000000000000000000000000000000000000000000000
138,770.83,125,1,8,00000000000000000100000000000000000000000000000000000000000110000110110000000100000000000000000000000000000000000000000000000
139,770.82,125,1,8,00000010000000000000000000000000000000000000000000001011101001000000000100000000000000000000000000000000000000000000000000000
140,770.84,125,1,6,00000000000011000000000001000000000000000000000000000000010001001000000000000000000000000000000000000000000000000000000000000
141,770.83,125,1,9,00000000000000000000000100110000000000000000000000000010000010010011001000000000000000000000000000000000000000000000000000000
142,770.83,125,1,9,00000000100000000000000000000000000000000000000000001010111111000000000000000000000000000000000000000000000000000000000000000
143,770.82,125,1,7,00010000000000100000000001000000000000000000000000000000000000111010000000000000000000000000000000000000000000000000000000000
144,770.84,125,1,14,00010000000000000000000000000000000000000000000000001001111111111100010000000000000000000000000000000000000000000000000000000
145,770.83,125,1,7,00000000001000000000000000000000000000000000000000000000111100110000000000000000000000000000000000000000000000000000000000000
146,770.83,125,1,4,00000000000000001000000000000000000000000000000000000000001000000100100000000000000000000000000000000000000000000000000000000
147,770.82,125,1,8,00000010000000000000000010000000000000000000000000000010011000000001000100000000100000000000000000000000000000000000000000000
148,770.84,125,1,6,00000000000010000000000000000000000000000000000000000000001010011000000000000000100000000000000000000000000000000000000000000
149,770.83,125,1,6,00100000000000000010000000000000000000000000000000000100000000000011001000000000000000000000000000000000000000000000000000000
150,770.83,125,1,5,10000000100000000000000001000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
151,770.82,125,1,4,00000000000000100000000000000000000000000000000000000000000000100110000000000000000000000000000000000000000000000000000000000
152,770.84,125,1,11,00000000000000000000000000000000000000000000000000011111111000000100100100000000000000000000000000000000000000000000000000000
153,770.83,125,1,6,00000000011000000000000001000000000000000000000000000000001001100000000000000000000000000000000000000000000000000000000000000
